[10/Jul/2026:12:25:43 +0000] - 200 200 - GET http pihole.local "/admin/vendor/icheck/icheck-bootstrap.min.css?v=1783415778" [Client 192.168.65.1] [Length 12504] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/"
[10/Jul/2026:12:25:43 +0000] - 200 200 - GET http pihole.local "/admin/vendor/bstreeview/bstreeview.min.css?v=1783415778" [Client 192.168.65.1] [Length 723] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/"
[10/Jul/2026:12:25:43 +0000] - 200 200 - GET http pihole.local "/admin/vendor/datatables/datatables.min.css?v=1783415778" [Client 192.168.65.1] [Length 4672] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/"
[10/Jul/2026:12:25:43 +0000] - 200 200 - GET http pihole.local "/admin/vendor/datatables-buttons/datatables.buttons.min.css?v=1783415778" [Client 192.168.65.1] [Length 10337] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/"
[10/Jul/2026:12:25:43 +0000] - 200 200 - GET http pihole.local "/admin/vendor/datatables-select/datatables.select.min.css?v=1783415778" [Client 192.168.65.1] [Length 4023] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/"
[10/Jul/2026:12:25:43 +0000] - 200 200 - GET http pihole.local "/admin/vendor/daterangepicker/daterangepicker.min.css?v=1783415778" [Client 192.168.65.1] [Length 6378] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/"
[10/Jul/2026:12:25:43 +0000] - 200 200 - GET http pihole.local "/admin/vendor/bootstrap-toggle/bootstrap-toggle.min.css?v=1783415778" [Client 192.168.65.1] [Length 1590] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/"
[10/Jul/2026:12:25:43 +0000] - 200 200 - GET http pihole.local "/admin/vendor/waitMe-js/waitMe.min.css?v=1783415778" [Client 192.168.65.1] [Length 14044] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/"
[10/Jul/2026:12:25:43 +0000] - 200 200 - GET http pihole.local "/admin/vendor/select2/select2.min.css?v=1783415778" [Client 192.168.65.1] [Length 14966] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/"
[10/Jul/2026:12:25:43 +0000] - 200 200 - GET http pihole.local "/admin/vendor/bootstrap-notify/bootstrap-notify.min.js?v=1783415778" [Client 192.168.65.1] [Length 9428] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/"
[10/Jul/2026:12:25:43 +0000] - 200 200 - GET http pihole.local "/admin/vendor/select2/select2.min.js?v=1783415778" [Client 192.168.65.1] [Length 70851] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/"
[10/Jul/2026:12:25:43 +0000] - 200 200 - GET http pihole.local "/admin/vendor/datatables-select/datatables.select.min.js?v=1783415778" [Client 192.168.65.1] [Length 13088] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/"
[10/Jul/2026:12:25:43 +0000] - 200 200 - GET http pihole.local "/admin/vendor/datatables/datatables.min.js?v=1783415778" [Client 192.168.65.1] [Length 88136] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/"
[10/Jul/2026:12:25:43 +0000] - 200 200 - GET http pihole.local "/admin/vendor/chartjs/chart.umd.min.js?v=1783415778" [Client 192.168.65.1] [Length 208522] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/"
